Ref,Building,Title,TTW Job Nos,Category,Year Constructed,Year (AGB),Year,Age Risk Rating,Structural Engineer,Structural Drawings,Storeys,Structural Framing System,LLRS,Typology Risk,Priority Rating,Asset Priority Rating,Structural Seismic Risk Level,Geotechnical Report,Ground Conditions,Facade Typology,Facade Safety Risk,Facade Risk Identification,Address,Co-ordinates,Latitude,Longitude,Notes,Link,,Facade Observations,Status,UNSW PM
F20,John Goodsell Building,John Goodsell Building,,Building,1964,1965,1965,5,WOOLACOTTS (WCE),1E - 7E,6,CONCRETE/ SINGLE LAYER REINF/STEEL ROOF,,3,15,HIGH,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Canopy damage (add bollards or signage), Landing parapet joints, replace soffit (S), repair movement joint sealant",,
F21,Library - Tower,,,Building,,,1973,5,WOOLACOTTS (WCE),S1-S73,,RC FRAME/SHEAR WALLS,,2,10,MEDIUM,,,,Concrete / Precast / Low level brick,High,Potential failures identified and require rectification,,,,,,,,"TTW have provided updated proposal for fa?ade investigation report (28/2/24).
Concrete spalling, render spalling, steel corrosion to 'Lounge' parapet, repair flashing (E) ",Fee updated and issued 30/4/24 ,Scott Murphy
F22,Bank,,,,,,1971,5,,,2,RC FRAME/SHEAR WALLS,,3,15,HIGH,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Failed window seals (W), repair parapet brickwork (adjacent entry)",,
F23,Mathews Building,Mathews Building,,Building,1971,1973,1971,5,WOOLACOTTS (WCE),1E - 7E,,CONCRETE & STEELWORK,,3,15,HIGH,,N/A,,Precast concrete,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Hoarding erected for pedestrian safety, temporary overhead protection designed, 
Scope of repairs/replacement to be confirmed by UNSW",Concrete Defects Summary and Informative Risk Assessment (2023) ,Luke Demetriou
F25,Samuels Building,Samuels Building (F25),,Building,1995,1992,1991,3,ARUP,S1 - S33,9,RC FRAME / RC SHEAR WALLS,,1,3,,,N/A,,2 storey brick / Cladding Panels,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,"Cleaning, debris, mortar joints",,
G06,Blockhouse,,,,,,1971,5,,,2,RC FRAME / EXTERNAL RC CORE,,3,15,HIGH,,,,Brick / Precast,High,Potential failures identified and require rectification,,,,,,,,"Spalling concrete soffit (S), brick cracking (SE)",,
G14,Robert Webster,Robert Webster,,Building,N/A,1969,1969,5,SMITH & LASCELLES,1 to 30,7,RC FRAME / RC SHEAR WALLS,,2,10,MEDIUM,,N/A,,Cladding / Glass,High,Potential failures identified and require rectification,,,,,NEW STEEL ROOF 2000,,,Current repairs by RM Watson. TTW fee requested for peer review services.,Fa?ade replacement north ,Chloe Miller
G15,Webster Theatres,Webster Theatres,,Theatre,N/A,1969,1993,3,,,,RC FRAME,,3,9,MEDIUM,,,,Precast,High,Potential failures identified and require rectification,,,,,,,,Concrete spalling (E),,
G17,Electrical Engineering,Electrical Engineering (G17),,Building,1961,,UPGRADED,NA,MACDONALD WAGNER & PRIDDLE,S1 - S7,,RC FRAME,,NA,#VALUE!,,,N/A,,,,#N/A,,,,,,,,,,
G17,Electrical Engineering Modernisation,Electrical Engineering (G17),151695,Building,1979,,2015,1,TTW,TTW,,RC FRAME (refer modernisation),,1,1,,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Cracked precast (N), cracked lintel (N), Debris maintenance, bees nest ",,
G19,John Niland Scientia,John Niland Scientia (G19),96107 & 011136,Building,1996 & 2001,1999,1999,3,TTW,TTW,,RC FRAME/STEEL ROOF,,1,3,,,,,Blockwork / Cladding panels / Glass atrium,High,Potential failures identified and require rectification,,,,,,,,"Concrete repair (loading dock), Loose stone (W), Open joints, FC sheet infill",Proposal issued for replacement of the existing automated louvre facades and awning 8/4/24 ,Luke Demetriou 
G23,Solar Research Lab SIRF,Solar Research Lab SIRF (G23),,Building,N/A,,2011,1,,,2,RC FRAME,,1,1,,,,,Curtain wall / Cladding panels ,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,joint seal failed (S),,
G27,AGSM ,,,Building,,,1982,3,,,5,RC FRAME,,2,6,LOW,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Steel corrosion, debris on canopy",,
G27,AGSM Extension,AGSM (G27),94360,Building,1994,,1994,3,TTW,S1-S31,5,RC FRAME,,2,6,LOW,,N/A,,Brick,High,Potential failures identified and require rectification,"AGSM, Botany St, Randwick NSW 2052",,,,,,,"Steel corrosion, debris on canopy",,
H01,University Regiment,UNSW Regiment (H01),,Building,N/A,,1971,5,,,1,STEEL/MASONRY,,3,15,HIGH,,,,Brick / cladding,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,Vegetation over car port,,
H03,New College Postgraduate Village,New College Village Bldg (H03),,Building,2007,,2007,1,WOOLACOTTS (WCE),S1 - S19,,RC FRAME & STEELWORK,,1,1,,,N/A,,Cladding / Terracotta,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Loose joint strips in terracotta (N) (site advice 5), Spalling canopy (S), water behind render may lead to spalling",Meeting on site 1/5/24 to discuss facia board remedial works and actions from TTW Site Advice,Gregg Francis 
H06,Tyree Energy Technologies Building,Tyree Energy Technologies Building (H6),,Building,N/A,,2011,1,TTW,,,RC FRAME/RC SHEAR WALLS,,1,1,,,,,Cladding / Curtain wall,High,Potential failures identified and require rectification,,,,,,,,Recent cladding replacement ok.  Plantroom louvre failure currently out to tender.,Loading Dock Louvre replacement. Report issued 30/1/24 ,John Da Rocha 
H08,Sam Cracknell Pavillion,Sam Cracknell Pavillion,,Building,1992,,1982,3,PATERSON WHOLOHAN GRILL,S1 - S8,,CONCRETE/STEEL,,2,6,LOW,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,Corroded steel frame around doorway (S),,
H13,Anita B Lawrence / Red Centre,Red Centre (H13),,Building,1996,1998,1996,3,ARUP,S1 - S48,,RC FRAME / RC+PT FLOORS,RC SHEAR WALLS,1,3,LOW,,N/A,,Gcladding / Glass,High,Potential failures identified and require rectification,,,,,,,,"Loose block (S), detached cladding (S)",,
H20,Civil Engineering Building,Civil Engineering Building,,Building,N/A,,1966,5,,,7,RC FRAME/GABLE SHEAR WALL+SWAY FRAME,,2,10,MEDIUM,,,,Precast concrete / Brick,High,Potential failures identified and require rectification,,,,,,,,"Spalling window popouts (W) fence restrictions in place.
TTW fa?ade condition report issued Oct 2023. Awaiting concrete test results from Duratec",Fee proposal for Trial Repairs ,Rodrigo Roa / Melvin Rosende
H22,Vallentine Annexe,Vallentine Annexe (H22),,Building,N/A,1966,1966,5,,,2,CONCRETE/MASONRY,,3,15,HIGH,,,,Brick / Cladding panels,Very High,Facade safety risk identified requiring immediate attention,,,,,,,,"Scaffold erected - ongoing repairs to canopy, Spalling window Sills (N), Steel corrosion, Spalling concrete, window defects. TTW site inspection 28/2/24",Specification issued 30/4/24 ,Glynn Clayton / Melvin Rosende 
H25,Botany Street Carpark,Botany Street Carpark (H25),,Car Park,1985,,1985,3,LOW & HOOKE,S0 - S17,8,CONCRETE / PT / SWAY FRAME,RC Sway Frame,2,6,LOW,,N/A,,Brick / Precast,High,Potential failures identified and require rectification,,,,,,,,"Scaffold protection erected (E), spalling concrete, spalling stair soffit (W), mesh corrosion (S)",,
H25,Botany Street Carpark,,,Car Park,1995,,1995,3,LOW & HOOKE,,,CONCRETE / PT / SWAY FRAME,RC Sway Frame,2,6,LOW,,,,,,#N/A,,,,,,,,,,
J12,Newton Building,Newton Building (J12),,Building,1994,1970,1970,5,GEOFF NINNES FONG & PARTNERS,S1 - S12,,RC FRAME LONG SPAN / RC WALLS,,3,15,HIGH,,N/A,,RC frame and brick,High,Potential failures identified and require rectification,,,,,,,,"Spalling (possible recent make safe), exposed reo/concrete to be repaired, Concrete awning spalling (E), brick cracks (E), ",,
J14,Keith Burrows Lecture Theatre,Keith Burrows Lecture Theatre (J14),,Building,N/A,1972,1972,5,,,,RC FRAME LONG SPAN,,3,15,HIGH,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,Brick cracking (W),,
J17,Ainsworth Building,Ainsworth Building (J17),77134,Building,1961,1963,1963,5,MACDONALD WAGNER & PRIDDLE,S1 - S10,,RC FRAME/NOMINAL WALLS,,3,15,HIGH,,N/A,,Brick / glass stair surround,Medium,Risks identified - manage through regular maintenance regime,Kensington NSW 2052,,,,,,,Balustrade corrosion (E) ,,
J18,Willis Annexe,Willis Annexe,,Building,1961,1963,1963,5,MACDONALD WAGNER & PRIDDLE,S1 - S20,,RC FRAME/NOMINAL WALLS,,3,15,HIGH,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Trims failing around metal panels (W), Canopy gutters blocked (S), Brick repointing (W)",,
J2,UNSW Regiment 2,,,,,,1971,5,,,,STEEL/MASONRY,,2,10,MEDIUM,,,,Brick,Medium,Risks identified - manage through regular maintenance regime,,,,,,,,"Broken vent, broken sill",,
J8,Moya Dodd Grandstand,,,,,2022,2022,1,,,,RC,,1,1,,,,,,Low,No issues identified,,,,,,,,,,
K14,Physics Lecture Theatre,Physics Lecture Theatre (K14),,Building,N/A,,1950,5,,,2,RC FLOOR ON MASONRY,,3,15,HIGH,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,Soffit repair (N),,
K15,Old Main Building,Old Main Building (K15),,Building,1950,,1950,5,PUBLIC WORKS DEPT,S1 - S45,4,RC FLOOR ON MASONRY,,3,15,HIGH,,N/A,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Spalling bridge bearing, corroded flashings, tree roots in joints, garden maintenance, spalling brickwork (site advice 4), mortar/sealant failure around windows, poor window condition",,
K17,Computer Science Building,Computer Science (K17),,Building,1974,,1974,5,MACDONALD WAGNER & PRIDDLE,S1 - S39,,RC FRAME/SINGLE REINF WALLS,,2,10,MEDIUM,,N/A,,RC frame,High,Potential failures identified and require rectification,,,,,,,,"Concrete Repairs 2017, water ingress to internal column (W)",,
L05,Building L05,Building (L05),21189,Building,2002,,2003,1,TTW,S001-S2001,,RC FRAME/SHEAR WALLS,,1,1,,,N/A,,,Low,No issues identified,"Building L5, 223 Anzac Parade",,,,,,,Not UNSW property,,
L06,New College,New College *L6),,Building,N/A,,1971,5,,,5,RC/MASONRY,,3,15,HIGH,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Gutter failure (SE), metal louvre corrosion (S)",,
M15,Rupert Myers,Rupert Myers,,Building,1991,,1994,3,GEOFF NINNES & PARTNERS,S1-S12 & S17,4,CONCRETE,,2,6,LOW,,N/A,,Brick / Cladding panels,High,Potential failures identified and require rectification,,,,,,,,"Check glass balustrade compliance (W), Steel corrosion (N/W), steel corrosion at gutters (E), ",,
M7,Warrane College,,,,,,1971,5,,,7,RC/MASONRY,,3,15,HIGH,,,,Rendered concrete frame,High,Potential failures identified and require rectification,,,,,,,,"Render failure (E+W), Soffit render failure (S)",,
N13,Barker Apartments,,,,,,1993,3,,,4,LOW RISE MASONRY,,2,6,LOW,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,"RC and steel balcony corrosion, Brick cracking (N/S), Concrete spalling (N)",,
N18,Barker Street Parking Station,,,,,,1993,3,,,,RC MOMENT FRAME,,3,9,MEDIUM,,,,Concrete frame / brick / mesh,High,Potential failures identified and require rectification,,,,,,,,Currently out to tender for car park upgrades,Tender Upgrade works,Luke Demetriou
N8,House at Pooh Corner,,,,,,1971,5,,,,LOW RISE CONCRETE,,2,10,MEDIUM,,,,Brick / Timber,High,Potential failures identified and require rectification,,,,,,,,"External fencing failure (over kids), gutter maintenance, hopper failure, timber rot (S)",,
N9,Shalom Apartments,,,,,,1982,3,,,,LOW RISE MASONRY,,2,6,LOW,,,,Brick,High,Potential failures identified and require rectification,,,,,,,,"Soffit failure, gutter maintenance, timber cladding rot (S)",,
